salary,name_norm,team_norm,pos_norm,proj_points,source,name,team,pos,pts_per_1k,z_pos_source,salary_dollars_per_point,implied_points,delta_vs_implied
8200,christian mccaffrey,SF,RB,20.9,fantasypros,Christian McCaffrey,SF,RB,2.548780487804878,2.0989878874954475,389.110525580967,21.073703898800662,-0.17370389880066384
8100,jamarr chase,CIN,WR,19.7,fantasypros,Ja'Marr Chase,CIN,WR,2.432098765432099,2.253436069018245,389.110525580967,20.8167075097909,-1.1167075097908992
8000,ceedee lamb,DAL,WR,19.9,fantasypros,CeeDee Lamb,DAL,WR,2.4875,2.291759302504505,389.110525580967,20.559711120781134,-0.6597111207811359
7900,bijan robinson,ATL,RB,20.8,fantasypros,Bijan Robinson,ATL,RB,2.632911392405063,2.08258954462439,389.110525580967,20.30271473177137,0.4972852682286302
7800,saquon barkley,PHI,RB,19.2,fantasypros,Saquon Barkley,PHI,RB,2.4615384615384617,1.8202160586874587,389.110525580967,20.045718342761607,-0.8457183427616073
7700,puka nacua,LAR,WR,18.1,fantasypros,Puka Nacua,LAR,WR,2.3506493506493507,1.946850201128166,389.110525580967,19.788721953751843,-1.6887219537518412
7600,jahmyr gibbs,DET,RB,18.6,fantasypros,Jahmyr Gibbs,DET,RB,2.447368421052632,1.72182600146111,389.110525580967,19.53172556474208,-0.9317255647420772
7500,justin jefferson,MIN,WR,19.4,fantasypros,Justin Jefferson,MIN,WR,2.5866666666666664,2.195951218788855,389.110525580967,19.274729175732315,0.12527082426768388
7500,derrick henry,BAL,RB,17.8,fantasypros,Derrick Henry,BAL,RB,2.3733333333333335,1.5906392584926443,389.110525580967,19.274729175732315,-1.474729175732314
7400,josh allen,BUF,QB,23.2,fantasypros,Josh Allen,BUF,QB,3.135135135135135,1.388664091309244,389.110525580967,19.01773278672255,4.1822672132774485
7400,amonra st brown,DET,WR,18.9,fantasypros,Amon-Ra St. Brown,DET,WR,2.554054054054054,2.100143135073205,389.110525580967,19.01773278672255,-0.11773278672255216
7300,nico collins,HOU,WR,16.4,fantasypros,Nico Collins,HOU,WR,2.246575342465753,1.621102716494956,389.110525580967,18.760736397712787,-2.360736397712788
7300,lamar jackson,BAL,QB,24.1,fantasypros,Lamar Jackson,BAL,QB,3.301369863013699,1.5711163076856416,389.110525580967,18.760736397712787,5.339263602287215
7200,jonathan taylor,IND,RB,16.9,fantasypros,Jonathan Taylor,IND,RB,2.347222222222222,1.4430541726531203,389.110525580967,18.503740008703023,-1.6037400087030242
7200,malik nabers,NYG,WR,19.5,fantasypros,Malik Nabers,NYG,WR,2.7083333333333335,2.2151128355319853,389.110525580967,18.503740008703023,0.9962599912969772
7100,bucky irving,TB,RB,17.1,fantasypros,Bucky Irving,TB,RB,2.4084507042253525,1.4758508583952372,389.110525580967,18.24674361969326,-1.1467436196932574
7000,josh jacobs,GB,RB,16.4,fantasypros,Josh Jacobs,GB,RB,2.3428571428571425,1.3610624582978295,389.110525580967,17.989747230683495,-1.5897472306834963
7000,jayden daniels,WAS,QB,18.6,fantasypros,Jayden Daniels,WAS,QB,2.6571428571428575,0.4561305409409927,389.110525580967,17.989747230683495,0.6102527693165065
6900,chase brown,CIN,RB,16.6,fantasypros,Chase Brown,CIN,RB,2.4057971014492754,1.3938591440399462,389.110525580967,17.732750841673727,-1.132750841673726
6800,devon achane,MIA,RB,17.5,fantasypros,De'Von Achane,MIA,RB,2.573529411764706,1.5414442298794697,389.110525580967,17.475754452663963,0.024245547336036566
6800,jalen hurts,PHI,QB,22.1,fantasypros,Jalen Hurts,PHI,QB,3.2500000000000004,1.1656669379603146,389.110525580967,17.475754452663963,4.624245547336038
6800,ladd mcconkey,LAC,WR,15.1,fantasypros,Ladd McConkey,LAC,WR,2.2205882352941178,1.3720016988342667,389.110525580967,17.475754452663963,-2.375754452663964
6700,tyreek hill,MIA,WR,12.9,fantasypros,Tyreek Hill,MIA,WR,1.9253731343283582,0.9504461304854076,389.110525580967,17.2187580636542,-4.318758063654199
6700,ashton jeanty,LV,RB,16.1,fantasypros,Ashton Jeanty,LV,RB,2.4029850746268657,1.3118674296846553,389.110525580967,17.2187580636542,-1.118758063654198
6600,james cook,BUF,RB,18.7,fantasypros,James Cook,BUF,RB,2.8333333333333335,1.7382243443321677,389.110525580967,16.961761674644436,1.7382383253555638
6600,baker mayfield,TB,QB,19.7,fantasypros,Baker Mayfield,TB,QB,2.984848484848485,0.679127694289922,389.110525580967,16.961761674644436,2.7382383253555638
6600,mike evans,TB,WR,14.1,fantasypros,Mike Evans,TB,WR,2.1363636363636362,1.180385531402967,389.110525580967,16.961761674644436,-2.861761674644436
6500,jaxon smithnjigba,SEA,WR,16.1,fantasypros,Jaxon Smith-Njigba,SEA,WR,2.476923076923077,1.5636178662655666,389.110525580967,16.70476528563467,-0.6047652856346701
6500,james conner,ARI,RB,16.0,fantasypros,James Conner,ARI,RB,2.4615384615384617,1.295469086813597,389.110525580967,16.70476528563467,-0.7047652856346716
6400,kyren williams,LAR,RB,14.7,fantasypros,Kyren Williams,LAR,RB,2.2968749999999996,1.0822906294898405,389.110525580967,16.447768896624908,-1.7477688966249083
6400,jared goff,DET,QB,17.2,fantasypros,Jared Goff,DET,QB,2.6874999999999996,0.1723159821332635,389.110525580967,16.447768896624908,0.7522311033750917
6400,zay flowers,BAL,WR,15.5,fantasypros,Zay Flowers,BAL,WR,2.421875,1.4486481658067867,389.110525580967,16.447768896624908,-0.9477688966249076
6300,jordan love,GB,QB,17.8,fantasypros,Jordan Love,GB,QB,2.8253968253968256,0.2939507930508618,389.110525580967,16.190772507615144,1.609227492384857
6300,aj brown,PHI,WR,14.7,fantasypros,A.J. Brown,PHI,WR,2.3333333333333335,1.2953552318617467,389.110525580967,16.190772507615144,-1.4907725076151443
6300,emeka egbuka,TB,WR,14.3,fantasypros,Emeka Egbuka,TB,WR,2.26984126984127,1.2187087648892272,389.110525580967,16.190772507615144,-1.890772507615143
6300,alvin kamara,NO,RB,16.0,fantasypros,Alvin Kamara,NO,RB,2.5396825396825395,1.295469086813597,389.110525580967,16.190772507615144,-0.19077250761514364
6200,chuba hubbard,CAR,RB,14.6,fantasypros,Chuba Hubbard,CAR,RB,2.354838709677419,1.0658922866187823,389.110525580967,15.93377611860538,-1.33377611860538
6200,davante adams,LAR,WR,15.2,fantasypros,Davante Adams,LAR,WR,2.451612903225806,1.3911633155773966,389.110525580967,15.93377611860538,-0.7337761186053804
6200,garrett wilson,NYJ,WR,15.5,fantasypros,Garrett Wilson,NYJ,WR,2.5,1.4486481658067867,389.110525580967,15.93377611860538,-0.4337761186053797
6200,justin herbert,LAC,QB,18.9,fantasypros,Justin Herbert,LAC,QB,3.048387096774193,0.5169479463997911,389.110525580967,15.93377611860538,2.966223881394619
6100,tee higgins,CIN,WR,14.1,fantasypros,Tee Higgins,CIN,WR,2.3114754098360657,1.180385531402967,389.110525580967,15.676779729595616,-1.576779729595616
6100,deebo samuel sr,WAS,WR,13.0,fantasypros,Deebo Samuel Sr.,WAS,WR,2.1311475409836067,0.9696077472285375,389.110525580967,15.676779729595616,-2.6767797295956157
6100,javonte williams,DAL,RB,15.5,fantasypros,Javonte Williams,DAL,RB,2.540983606557377,1.213477372458306,389.110525580967,15.676779729595616,-0.17677972959561572
6100,kyler murray,ARI,QB,18.4,fantasypros,Kyler Murray,ARI,QB,3.0163934426229506,0.41558560396845945,389.110525580967,15.676779729595616,2.723220270404383
6000,drake london,ATL,WR,15.8,fantasypros,Drake London,ATL,WR,2.6333333333333333,1.5061330160361768,389.110525580967,15.419783340585852,0.38021665941414895
6000,breece hall,NYJ,RB,15.2,fantasypros,Breece Hall,NYJ,RB,2.533333333333333,1.1642823438451313,389.110525580967,15.419783340585852,-0.21978334058585247
6000,brock bowers,LV,TE,15.9,fantasypros,Brock Bowers,LV,TE,2.65,2.6932779045704125,389.110525580967,15.419783340585852,0.4802166594141486
6000,courtland sutton,DEN,WR,12.9,fantasypros,Courtland Sutton,DEN,WR,2.15,0.9504461304854076,389.110525580967,15.419783340585852,-2.5197833405858514
5900,tetairoa mcmillan,CAR,WR,13.3,fantasypros,Tetairoa McMillan,CAR,WR,2.254237288135593,1.0270925974579275,389.110525580967,15.162786951576088,-1.862786951576087
5900,dak prescott,DAL,QB,21.2,fantasypros,Dak Prescott,DAL,QB,3.5932203389830506,0.9832147215839172,389.110525580967,15.162786951576088,6.0372130484239115
5900,george pickens,DAL,WR,12.8,fantasypros,George Pickens,DAL,WR,2.169491525423729,0.9312845137422777,389.110525580967,15.162786951576088,-2.362786951576087
5900,jameson williams,DET,WR,12.7,fantasypros,Jameson Williams,DET,WR,2.1525423728813555,0.9121228969991475,389.110525580967,15.162786951576088,-2.4627869515760885
5800,terry mclaurin,WAS,WR,12.9,fantasypros,Terry McLaurin,WAS,WR,2.224137931034483,0.9504461304854076,389.110525580967,14.905790562566322,-2.0057905625663217
5800,bo nix,DEN,QB,18.1,fantasypros,Bo Nix,DEN,QB,3.120689655172414,0.354768198509661,389.110525580967,14.905790562566322,3.1942094374336794
5800,kenneth walker iii,SEA,RB,14.7,fantasypros,Kenneth Walker III,SEA,RB,2.5344827586206895,1.0822906294898405,389.110525580967,14.905790562566322,-0.20579056256632278
5800,xavier worthy,KC,WR,6.1,fantasypros,Xavier Worthy,KC,WR,1.0517241379310345,-0.35254380804743024,389.110525580967,14.905790562566322,-8.805790562566322
5700,jaylen waddle,MIA,WR,12.0,fantasypros,Jaylen Waddle,MIA,WR,2.1052631578947367,0.7779915797972379,389.110525580967,14.648794173556558,-2.648794173556558
5700,dk metcalf,PIT,WR,14.7,fantasypros,DK Metcalf,PIT,WR,2.578947368421052,1.2953552318617467,389.110525580967,14.648794173556558,0.05120582644344118
5700,matthew stafford,LAR,QB,16.3,fantasypros,Matthew Stafford,LAR,QB,2.8596491228070176,-0.010136234243133315,389.110525580967,14.648794173556558,1.6512058264434426
5700,tony pollard,TEN,RB,13.4,fantasypros,Tony Pollard,TEN,RB,2.3508771929824563,0.8691121721660842,389.110525580967,14.648794173556558,-1.2487941735565578
5700,jk dobbins,DEN,RB,12.8,fantasypros,J.K. Dobbins,DEN,RB,2.245614035087719,0.7707221149397351,389.110525580967,14.648794173556558,-1.8487941735565574
5700,trey mcbride,ARI,TE,16.0,fantasypros,Trey McBride,ARI,TE,2.807017543859649,2.720532375734778,389.110525580967,14.648794173556558,1.351205826443442
5600,michael penix jr,ATL,QB,17.0,fantasypros,Michael Penix Jr.,ATL,QB,3.035714285714286,0.13177104516073093,389.110525580967,14.391797784546794,2.608202215453206
5600,jakobi meyers,LV,WR,12.7,fantasypros,Jakobi Meyers,LV,WR,2.267857142857143,0.9121228969991475,389.110525580967,14.391797784546794,-1.6917977845467949
5600,omarion hampton,LAC,RB,12.4,fantasypros,Omarion Hampton,LAC,RB,2.2142857142857144,0.7051287434555024,389.110525580967,14.391797784546794,-1.9917977845467938
5600,caleb williams,CHI,QB,18.7,fantasypros,Caleb Williams,CHI,QB,3.3392857142857144,0.4764030094272586,389.110525580967,14.391797784546794,4.308202215453205
5600,dandre swift,CHI,RB,12.4,fantasypros,D'Andre Swift,CHI,RB,2.2142857142857144,0.7051287434555024,389.110525580967,14.391797784546794,-1.9917977845467938
5600,marvin harrison jr,ARI,WR,14.3,fantasypros,Marvin Harrison Jr.,ARI,WR,2.553571428571429,1.2187087648892272,389.110525580967,14.391797784546794,-0.09179778454679344
5600,david montgomery,DET,RB,12.4,fantasypros,David Montgomery,DET,RB,2.2142857142857144,0.7051287434555024,389.110525580967,14.391797784546794,-1.9917977845467938
5500,cj stroud,HOU,QB,16.8,fantasypros,C.J. Stroud,HOU,QB,3.0545454545454547,0.0912261081881984,389.110525580967,14.13480139553703,2.6651986044629705
5500,jake browning,CIN,QB,16.5,fantasypros,Jake Browning,CIN,QB,3.0,0.030408702729399228,389.110525580967,14.13480139553703,2.36519860446297
5500,jaylen warren,PIT,RB,14.7,fantasypros,Jaylen Warren,PIT,RB,2.6727272727272724,1.0822906294898405,389.110525580967,14.13480139553703,0.5651986044629691
5500,jacory croskeymerritt,WAS,RB,11.8,fantasypros,Jacory Croskey-Merritt,WAS,RB,2.1454545454545455,0.6067386862291533,389.110525580967,14.13480139553703,-2.3348013955370295
5500,ricky pearsall,SF,WR,12.5,fantasypros,Ricky Pearsall,SF,WR,2.272727272727273,0.8737996635128876,389.110525580967,14.13480139553703,-1.6348013955370302
5400,tua tagovailoa,MIA,QB,14.0,fantasypros,Tua Tagovailoa,MIA,QB,2.5925925925925926,-0.4764030094272593,389.110525580967,13.877805006527266,0.12219499347273377
5400,khalil shakir,BUF,WR,11.2,fantasypros,Khalil Shakir,BUF,WR,2.074074074074074,0.624698645852198,389.110525580967,13.877805006527266,-2.677805006527267
5400,jordan mason,MIN,RB,14.1,fantasypros,Jordan Mason,MIN,RB,2.6111111111111107,0.9839005722634914,389.110525580967,13.877805006527266,0.22219499347273342
5400,treveyon henderson,NE,RB,11.3,fantasypros,TreVeyon Henderson,NE,RB,2.0925925925925926,0.5247469718738623,389.110525580967,13.877805006527266,-2.5778050065272655
5400,daniel jones,IND,QB,17.5,fantasypros,Daniel Jones,IND,QB,3.2407407407407405,0.23313338759206265,389.110525580967,13.877805006527266,3.6221949934727338
5400,quentin johnston,LAC,WR,10.5,fantasypros,Quentin Johnston,LAC,WR,1.9444444444444444,0.49056732865028835,389.110525580967,13.877805006527266,-3.3778050065272662
5400,dj moore,CHI,WR,12.7,fantasypros,DJ Moore,CHI,WR,2.3518518518518516,0.9121228969991475,389.110525580967,13.877805006527266,-1.177805006527267
5300,keon coleman,BUF,WR,10.5,fantasypros,Keon Coleman,BUF,WR,1.9811320754716981,0.49056732865028835,389.110525580967,13.620808617517502,-3.1208086175175023
5300,aaron jones sr,MIN,RB,4.1,fantasypros,Aaron Jones Sr.,MIN,RB,0.7735849056603773,-0.6559337148423271,389.110525580967,13.620808617517502,-9.520808617517503
5300,drake maye,NE,QB,19.3,fantasypros,Drake Maye,NE,QB,3.6415094339622645,0.598037820344857,389.110525580967,13.620808617517502,5.679191382482498
5300,rhamondre stevenson,NE,RB,11.2,fantasypros,Rhamondre Stevenson,NE,RB,2.1132075471698113,0.508348629002804,389.110525580967,13.620808617517502,-2.420808617517503
5300,devonta smith,PHI,WR,12.9,fantasypros,DeVonta Smith,PHI,WR,2.4339622641509435,0.9504461304854076,389.110525580967,13.620808617517502,-0.7208086175175019
5300,justin fields,NYJ,QB,16.7,fantasypros,Justin Fields,NYJ,QB,3.150943396226415,0.07095363970193176,389.110525580967,13.620808617517502,3.079191382482497
5300,rome odunze,CHI,WR,13.1,fantasypros,Rome Odunze,CHI,WR,2.4716981132075473,0.9887693639716674,389.110525580967,13.620808617517502,-0.5208086175175026
5300,russell wilson,NYG,QB,16.1,fantasypros,Russell Wilson,NYG,QB,3.037735849056604,-0.05068117121566586,389.110525580967,13.620808617517502,2.479191382482499
5200,dylan sampson,CLE,RB,6.3,fantasypros,Dylan Sampson,CLE,RB,1.2115384615384615,-0.295170171679047,389.110525580967,13.363812228507738,-7.0638122285077385
5200,jerry jeudy,CLE,WR,11.0,fantasypros,Jerry Jeudy,CLE,WR,2.1153846153846154,0.5863754123659382,389.110525580967,13.363812228507738,-2.3638122285077383
5200,nick chubb,HOU,RB,10.6,fantasypros,Nick Chubb,HOU,RB,2.0384615384615383,0.4099585717764549,389.110525580967,13.363812228507738,-2.7638122285077387
5200,aaron rodgers,PIT,QB,15.3,fantasypros,Aaron Rodgers,PIT,QB,2.9423076923076925,-0.21286091910579674,389.110525580967,13.363812228507738,1.9361877714922624
5200,geno smith,LV,QB,16.7,fantasypros,Geno Smith,LV,QB,3.2115384615384612,0.07095363970193176,389.110525580967,13.363812228507738,3.336187771492261
5200,chris olave,NO,WR,12.6,fantasypros,Chris Olave,NO,WR,2.423076923076923,0.8929612802560176,389.110525580967,13.363812228507738,-0.7638122285077387
5200,isiah pacheco,KC,RB,11.4,fantasypros,Isiah Pacheco,KC,RB,2.1923076923076925,0.5411453147449204,389.110525580967,13.363812228507738,-1.963812228507738
5100,matthew golden,GB,WR,9.5,fantasypros,Matthew Golden,GB,WR,1.8627450980392157,0.2989511612189887,389.110525580967,13.106815839497974,-3.6068158394979744
5100,rachaad white,TB,RB,7.0,fantasypros,Rachaad White,TB,RB,1.3725490196078431,-0.18038177158163968,389.110525580967,13.106815839497974,-6.106815839497974
5100,calvin ridley,TEN,WR,11.9,fantasypros,Calvin Ridley,TEN,WR,2.3333333333333335,0.758829963054108,389.110525580967,13.106815839497974,-1.206815839497974
5100,najee harris,LAC,RB,6.3,fantasypros,Najee Harris,LAC,RB,1.2352941176470589,-0.295170171679047,389.110525580967,13.106815839497974,-6.8068158394979745
5100,sam darnold,SEA,QB,15.6,fantasypros,Sam Darnold,SEA,QB,3.058823529411765,-0.15204351364699792,389.110525580967,13.106815839497974,2.4931841605020253
5100,tyrone tracy jr,NYG,RB,9.0,fantasypros,Tyrone Tracy Jr.,NYG,RB,1.7647058823529413,0.147585085839524,389.110525580967,13.106815839497974,-4.106815839497974
5000,bryce young,CAR,QB,15.8,fantasypros,Bryce Young,CAR,QB,3.16,-0.11149857667446503,389.110525580967,12.849819450488209,2.950180549511792
5000,quinshon judkins,CLE,RB,10.2,fantasypros,Quinshon Judkins,CLE,RB,2.04,0.3443652002922221,389.110525580967,12.849819450488209,-2.6498194504882093
5000,braelon allen,NYJ,RB,6.6,fantasypros,Braelon Allen,NYJ,RB,1.3199999999999998,-0.24597514306587248,389.110525580967,12.849819450488209,-6.249819450488209
5000,cooper kupp,SEA,WR,10.5,fantasypros,Cooper Kupp,SEA,WR,2.1,0.49056732865028835,389.110525580967,12.849819450488209,-2.3498194504882086
5000,mac jones,SF,QB,16.6,fantasypros,Mac Jones,SF,QB,3.3200000000000003,0.05068117121566586,389.110525580967,12.849819450488209,3.750180549511793
5000,jauan jennings,SF,WR,12.4,fantasypros,Jauan Jennings,SF,WR,2.48,0.8546380467697577,389.110525580967,12.849819450488209,-0.44981945048820826
5000,cam skattebo,NYG,RB,9.9,fantasypros,Cam Skattebo,NYG,RB,1.98,0.29517017167904774,389.110525580967,12.849819450488209,-2.9498194504882083
